,,,First,Second
AL-B,AL,B,Al,B
AL-C,AL,C,Al,C
AL-CA,AL,CA,Al,Ca
AL-CE,AL,CE,Al,Ce
AL-CO,AL,CO,Al,Co
AL-CR,AL,CR,Al,Cr
AL-CU,AL,CU,Al,Cu
AL-FE,AL,FE,Al,Fe
AL-H,AL,H,Al,H
AL-MG,AL,MG,Al,Mg
AL-MN,AL,MN,Al,Mn
AL-MO,AL,MO,Al,Mo
AL-N,AL,N,Al,N
AL-NB,AL,NB,Al,Nb
AL-NI,AL,NI,Al,Ni
AL-O,AL,O,Al,O
AL-P,AL,P,Al,P
AL-RU,AL,RU,Al,Ru
AL-S,AL,S,Al,S
AL-SI,AL,SI,Al,Si
AL-TA,AL,TA,Al,Ta
AL-TI,AL,TI,Al,Ti
AL-V,AL,V,Al,V
AL-W,AL,W,Al,W
AL-Y,AL,Y,Al,Y
AL-ZN,AL,ZN,Al,Zn
AL-ZR,AL,ZR,Al,Zr
B-C,B,C,B,C
B-CA,B,CA,B,Ca
B-CE,B,CE,B,Ce
B-CO,B,CO,B,Co
B-CR,B,CR,B,Cr
B-CU,B,CU,B,Cu
B-FE,B,FE,B,Fe
B-MG,B,MG,B,Mg
B-MN,B,MN,B,Mn
B-MO,B,MO,B,Mo
B-N,B,N,B,N
B-NB,B,NB,B,Nb
B-NI,B,NI,B,Ni
B-RU,B,RU,B,Ru
B-SI,B,SI,B,Si
B-TA,B,TA,B,Ta
B-TI,B,TI,B,Ti
B-V,B,V,B,V
B-W,B,W,B,W
B-Y,B,Y,B,Y
B-ZR,B,ZR,B,Zr
C-CA,C,CA,C,Ca
C-CE,C,CE,C,Ce
C-CO,C,CO,C,Co
C-CR,C,CR,C,Cr
C-CU,C,CU,C,Cu
C-FE,C,FE,C,Fe
C-MG,C,MG,C,Mg
C-MN,C,MN,C,Mn
C-MO,C,MO,C,Mo
C-N,C,N,C,N
C-NB,C,NB,C,Nb
C-NI,C,NI,C,Ni
C-O,C,O,C,O
C-P,C,P,C,P
C-RU,C,RU,C,Ru
C-S,C,S,C,S
C-SI,C,SI,C,Si
C-TA,C,TA,C,Ta
C-TI,C,TI,C,Ti
C-V,C,V,C,V
C-W,C,W,C,W
C-Y,C,Y,C,Y
C-ZN,C,ZN,C,Zn
C-ZR,C,ZR,C,Zr
CA-CE,CA,CE,Ca,Ce
CA-CO,CA,CO,Ca,Co
CA-CR,CA,CR,Ca,Cr
CA-CU,CA,CU,Ca,Cu
CA-FE,CA,FE,Ca,Fe
CA-H,CA,H,Ca,H
CA-MG,CA,MG,Ca,Mg
CA-MN,CA,MN,Ca,Mn
CA-MO,CA,MO,Ca,Mo
CA-N,CA,N,Ca,N
CA-NB,CA,NB,Ca,Nb
CA-NI,CA,NI,Ca,Ni
CA-P,CA,P,Ca,P
CA-RU,CA,RU,Ca,Ru
CA-S,CA,S,Ca,S
CA-SI,CA,SI,Ca,Si
CA-TI,CA,TI,Ca,Ti
CA-V,CA,V,Ca,V
CA-W,CA,W,Ca,W
CA-Y,CA,Y,Ca,Y
CA-ZN,CA,ZN,Ca,Zn
CA-ZR,CA,ZR,Ca,Zr
CE-CO,CE,CO,Ce,Co
CE-CR,CE,CR,Ce,Cr
CE-CU,CE,CU,Ce,Cu
CE-FE,CE,FE,Ce,Fe
CE-H,CE,H,Ce,H
CE-MG,CE,MG,Ce,Mg
CE-MN,CE,MN,Ce,Mn
CE-MO,CE,MO,Ce,Mo
CE-N,CE,N,Ce,N
CE-NB,CE,NB,Ce,Nb
CE-NI,CE,NI,Ce,Ni
CE-O,CE,O,Ce,O
CE-S,CE,S,Ce,S
CE-SI,CE,SI,Ce,Si
CE-TA,CE,TA,Ce,Ta
CE-TI,CE,TI,Ce,Ti
CE-V,CE,V,Ce,V
CE-W,CE,W,Ce,W
CE-Y,CE,Y,Ce,Y
CE-ZN,CE,ZN,Ce,Zn
CE-ZR,CE,ZR,Ce,Zr
CO-CR,CO,CR,Co,Cr
CO-CU,CO,CU,Co,Cu
CO-FE,CO,FE,Co,Fe
CO-H,CO,H,Co,H
CO-Mg,CO,Mg,Co,Mg
CO-MN,CO,MN,Co,Mn
CO-MO,CO,MO,Co,Mo
CO-N,CO,N,Co,N
CO-NB,CO,NB,Co,Nb
CO-NI,CO,NI,Co,Ni
CO-O,CO,O,Co,O
CO-P,CO,P,Co,P
CO-RU,CO,RU,Co,Ru
CO-S,CO,S,Co,S
CO-SI,CO,SI,Co,Si
CO-TA,CO,TA,Co,Ta
CO-TI,CO,TI,Co,Ti
CO-V,CO,V,Co,V
CO-W,CO,W,Co,W
CO-Y,CO,Y,Co,Y
CO-ZN,CO,ZN,Co,Zn
CO-ZR,CO,ZR,Co,Zr
CR-CU,CR,CU,Cr,Cu
CU-FE,CU,FE,Cu,Fe
CU-H,CU,H,Cu,H
CU-MG,CU,MG,Cu,Mg
CU-MN,CU,MN,Cu,Mn
CU-MO,CU,MO,Cu,Mo
CU-N,CU,N,Cu,N
CU-NB,CU,NB,Cu,Nb
CU-NI,CU,NI,Cu,Ni
CU-O,CU,O,Cu,O
CU-P,CU,P,Cu,P
CU-RU,CU,RU,Cu,Ru
CU-S,CU,S,Cu,S
CU-SI,CU,SI,Cu,Si
CU-TA,CU,TA,Cu,Ta
CU-TI,CU,TI,Cu,Ti
CU-V,CU,V,Cu,V
CU-W,CU,W,Cu,W
CU-Y,CU,Y,Cu,Y
CU-ZN,CU,ZN,Cu,Zn
CU-ZR,CU,ZR,Cu,Zr
FE-H,FE,H,Fe,H
FE-MG,FE,MG,Fe,Mg
FE-MN,FE,MN,Fe,Mn
FE-MO,FE,MO,Fe,Mo
FE-N,FE,N,Fe,N
FE-NB,FE,NB,Fe,Nb
FE-NI,FE,NI,Fe,Ni
FE-O,FE,O,Fe,O
FE-P,FE,P,Fe,P
FE-RU,FE,RU,Fe,Ru
FE-S,FE,S,Fe,S
FE-SI,FE,SI,Fe,Si
FE-TA,FE,TA,Fe,Ta
FE-TI,FE,TI,Fe,Ti
FE-V,FE,V,Fe,V
FE-W,FE,W,Fe,W
FE-Y,FE,Y,Fe,Y
FE-ZN,FE,ZN,Fe,Zn
FE-ZR,FE,ZR,Fe,Zr
H-MG,H,MG,H,Mg
H-MN,H,MN,H,Mn
H-MO,H,MO,H,Mo
H-NB,H,NB,H,Nb
H-NI,H,NI,H,Ni
H-RU,H,RU,H,Ru
H-SI,H,SI,H,Si
H-TA,H,TA,H,Ta
H-TI,H,TI,H,Ti
H-V,H,V,H,V
H-W,H,W,H,W
H-ZN,H,ZN,H,Zn
H-ZR,H,ZR,H,Zr
MG-MN,MG,MN,Mg,Mn
MG-MO,MG,MO,Mg,Mo
MG-N,MG,N,Mg,N
MG-NB,MG,NB,Mg,Nb
MG-NI,MG,NI,Mg,Ni
Mg-O,Mg,O,Mg,O
MG-RU,MG,RU,Mg,Ru
MG-S,MG,S,Mg,S
MG-SI,MG,SI,Mg,Si
MG-TA,MG,TA,Mg,Ta
MG-TI,MG,TI,Mg,Ti
MG-V,MG,V,Mg,V
MG-W,MG,W,Mg,W
MG-Y,MG,Y,Mg,Y
MG-ZN,MG,ZN,Mg,Zn
MG-ZR,MG,ZR,Mg,Zr
MN-MO,MN,MO,Mn,Mo
MO-N,MO,N,Mo,N
MN-NB,MN,NB,Mn,Nb
MN-NI,MN,NI,Mn,Ni
MN-O,MN,O,Mn,O
MN-P,MN,P,Mn,P
MN-RU,MN,RU,Mn,Ru
MN-S,MN,S,Mn,S
MN-SI,MN,SI,Mn,Si
MN-TA,MN,TA,Mn,Ta
MN-TI,MN,TI,Mn,Ti
MN-V,MN,V,Mn,V
MN-W,MN,W,Mn,W
MN-Y,MN,Y,Mn,Y
MN-ZN,MN,ZN,Mn,Zn
MN-ZR,MN,ZR,Mn,Zr
MO-N,MO,N,Mo,N
MO-NB,MO,NB,Mo,Nb
MO-NI,MO,NI,Mo,Ni
MO-O,MO,O,Mo,O
MO-P,MO,P,Mo,P
MO-RU,MO,RU,Mo,Ru
MO-S,MO,S,Mo,S
MO-SI,MO,SI,Mo,Si
MO-TA,MO,TA,Mo,Ta
MO-TI,MO,TI,Mo,Ti
MO-V,MO,V,Mo,V
MO-W,MO,W,Mo,W
MO-Y,MO,Y,Mo,Y
MO-ZN,MO,ZN,Mo,Zn
MO-ZR,MO,ZR,Mo,Zr
N-NB,N,NB,N,Nb
N-NI,N,NI,N,Ni
N-O,N,O,N,O
N-P,N,P,N,P
N-SI,N,SI,N,Si
N-TA,N,TA,N,Ta
N-TI,N,TI,N,Ti
N-V,N,V,N,V
N-W,N,W,N,W
N-Y,N,Y,N,Y
N-ZR,N,ZR,N,Zr
NB-NI,NB,NI,Nb,Ni
NB-O,NB,O,Nb,O
NB-P,NB,P,Nb,P
NB-RU,NB,RU,Nb,Ru
NB-S,NB,S,Nb,S
NB-SI,NB,SI,Nb,Si
NB-TA,NB,TA,Nb,Ta
NB-TI,NB,TI,Nb,Ti
NB-V,NB,V,Nb,V
NB-W,NB,W,Nb,W
NB-Y,NB,Y,Nb,Y
NB-ZN,NB,ZN,Nb,Zn
NB-ZR,NB,ZR,Nb,Zr
NI-O,NI,O,Ni,O
NI-P,NI,P,Ni,P
NI-RU,NI,RU,Ni,Ru
NI-S,NI,S,Ni,S
NI-SI,NI,SI,Ni,Si
NI-TA,NI,TA,Ni,Ta
NI-TI,NI,TI,Ni,Ti
NI-V,NI,V,Ni,V
NI-W,NI,W,Ni,W
NI-Y,NI,Y,Ni,Y
NI-ZN,NI,ZN,Ni,Zn
NI-ZR,NI,ZR,Ni,Zr
O-S,O,S,O,S
O-SI,O,SI,O,Si
O-TI,O,TI,O,Ti
O-Y,O,Y,O,Y
O-ZR,O,ZR,O,Zr
P-S,P,S,P,S
P-SI,P,SI,P,Si
P-TI,P,TI,P,Ti
P-V,P,V,P,V
P-W,P,W,P,W
P-ZN,P,ZN,P,Zn
RU-S,RU,S,Ru,S
RU-SI,RU,SI,Ru,Si
RU-TA,RU,TA,Ru,Ta
RU-TI,RU,TI,Ru,Ti
RU-V,RU,V,Ru,V
RU-ZN,RU,ZN,Ru,Zn
S-SI,S,SI,S,Si
S-TA,S,TA,S,Ta
S-TI,S,TI,S,Ti
S-V,S,V,S,V
S-W,S,W,S,W
S-Y,S,Y,S,Y
S-ZN,S,ZN,S,Zn
S-ZR,S,ZR,S,Zr
SI-TA,SI,TA,Si,Ta
SI-TI,SI,TI,Si,Ti
SI-V,SI,V,Si,V
SI-W,SI,W,Si,W
SI-Y,SI,Y,Si,Y
SI-ZN,SI,ZN,Si,Zn
SI-ZR,SI,ZR,Si,Zr
TA-TI,TA,TI,Ta,Ti
TA-V,TA,V,Ta,V
TA-W,TA,W,Ta,W
TA-Y,TA,Y,Ta,Y
TA-ZN,TA,ZN,Ta,Zn
TA-ZR,TA,ZR,Ta,Zr
TI-V,TI,V,Ti,V
TI-W,TI,W,Ti,W
TI-Y,TI,Y,Ti,Y
TI-ZN,TI,ZN,Ti,Zn
TI-ZR,TI,ZR,Ti,Zr
V-W,V,W,V,W
V-Y,V,Y,V,Y
V-ZN,V,ZN,V,Zn
V-ZR,V,ZR,V,Zr
W-Y,W,Y,W,Y
W-ZN,W,ZN,W,Zn
W-ZR,W,ZR,W,Zr
Y-ZN,Y,ZN,Y,Zn
Y-ZR,Y,ZR,Y,Zr
ZN-ZR,ZN,ZR,Zn,Zr
