,,Second,First
  AL-B, Al,B,Al
  AL-C, Al,C,Al
  AL-CA, Al,Ca,Al
  AL-CO, Al,Co,Al
  AL-CR, Al,Cr,Al
  AL-CU, Al,Cu,Al
  AL-FE, Al,Fe,Al
  AL-HF, Al,Hf,Al
  AL-MG, Al,Mg,Al
  AL-MN, Al,Mn,Al
  AL-MO, Al,Mo,Al
  AL-N, Al,N,Al
  AL-NB, Al,Nb,Al
  AL-NI, Al,Ni,Al
  AL-O, Al,O,Al
  AL-P, Al,P,Al
  Al-PD, Al,Pd,Al
  AL-PT, Al,Pt,Al
  AL-RE, Al,Re,Al
  AL-RU, Al,Ru,Al
  AL-S, Al,S,Al
  AL-SI, Al,Si,Al
  AL-TA, Al,Ta,Al
  AL-TI, Al,Ti,Al
  AL-V, Al,V,Al
  AL-W, Al,W,Al
  AL-Y, Al,Y,Al
  AL-ZR, Al,Zr,Al
  B-C, B,C,B
  B-CA, B,Ca,B
  B-CO, B,Co,B
  B-CR, B,Cr,B
  B-CU, B,Cu,B
  B-FE, B,Fe,B
  B-HF, B,Hf,B
  B-MG, B,Mg,B
  B-MN, B,Mn,B
  B-MO, B,Mo,B
  B-N, B,N,B
  B-NB, B,Nb,B
  B-NI, B,Ni,B
  B-O, B,O,B
  B-P, B,P,B
  B-PD, B,Pd,B
  B-PT, B,Pt,B
  B-RE, B,Re,B
  B-RU, B,Ru,B
  B-SI, B,Si,B
  B-TA, B,Ta,B
  B-TI, B,Ti,B
  B-V, B,V,B
  B-W, B,W,B
  B-Y, B,Y,B
  B-ZR, B,Zr,B
  C-CA, C,Ca,C
  C-CO, C,Co,C
  C-CR, C,Cr,C
  C-CU, C,Cu,C
  C-FE, C,Fe,C
  C-HF, C,Hf,C
  C-MG, C,Mg,C
  C-MN, C,Mn,C
  C-MO, C,Mo,C
  C-NB, C,Nb,C
  C-NI, C,Ni,C
  C-P, C,P,C
  C-PD, C,Pd,C
  C-PT, C,Pt,C
  C-RE, C,Re,C
  C-RU, C,Ru,C
  C-S, C,S,C
  C-SI, C,Si,C
  C-TA, C,Ta,C
  C-TI, C,Ti,C
  C-V, C,V,C
  C-W, C,W,C
  C-Y, C,Y,C
  C-ZR, C,Zr,C
  CA-CO, Ca,Co,Ca
  CA-CR, Ca,Cr,Ca
  CA-CU, Ca,Cu,Ca
  CA-FE, Ca,Fe,Ca
  CA-MG, Ca,Mg,Ca
  CA-MN, Ca,Mn,Ca
  CA-MO, Ca,Mo,Ca
  CA-NB, Ca,Nb,Ca
  CA-NI, Ca,Ni,Ca
  CA-O, Ca,O,Ca
  CA-P, Ca,P,Ca
  CA-RU, Ca,Ru,Ca
  CA-S, Ca,S,Ca
  CA-SI, Ca,Si,Ca
  CA-Y, Ca,Y,Ca
  CA-ZR, Ca,Zr,Ca
  CO-CR, Co,Cr,Co
  CO-CU, Co,Cu,Co
  CO-FE, Co,Fe,Co
  CO-HF, Co,Hf,Co
  CO-MG, Co,Mg,Co
  CO-MN, Co,Mn,Co
  CO-MO, Co,Mo,Co
  CO-N, Co,N,Co
  CO-NB, Co,Nb,Co
  CO-NI, Co,Ni,Co
  CO-O, Co,O,Co
  CO-P, Co,P,Co
  CO-PD, Co,Pd,Co
  CO-PT, Co,Pt,Co
  CO-RE, Co,Re,Co
  CO-RU, Co,Ru,Co
  CO-S, Co,S,Co
  CO-SI, Co,Si,Co
  CO-TA, Co,Ta,Co
  CO-TI, Co,Ti,Co
  CO-V, Co,V,Co
  CO-W, Co,W,Co
  CO-Y, Co,Y,Co
  CO-ZR, Co,Zr,Co
  CR-CU, Cr,Cu,Cr
  CR-FE, Cr,Fe,Cr
  CR-HF, Cr,Hf,Cr
  CR-MG, Cr,Mg,Cr
  CR-MN, Cr,Mn,Cr
  CR-MO, Cr,Mo,Cr
  CR-NB, Cr,Nb,Cr
  CR-N, Cr,N,Cr
  CR-NI, Cr,Ni,Cr
  CR-O, Cr,O,Cr
  CR-P, Cr,P,Cr
  CR-PD, Cr,Pd,Cr
  CR-PT, Cr,Pt,Cr
  CR-RE, Cr,Re,Cr
  CR-RU, Cr,Ru,Cr
  CR-S, Cr,S,Cr
  CR-SI, Cr,Si,Cr
  CR-TA, Cr,Ta,Cr
  CR-TI, Cr,Ti,Cr
  CR-V, Cr,V,Cr
  CR-W, Cr,W,Cr
  CR-Y, Cr,Y,Cr
  CR-ZR, Cr,Zr,Cr
  CU-FE, Cu,Fe,Cu
  CU-HF, Cu,Hf,Cu
  CU-MG, Cu,Mg,Cu
  CU-MN, Cu,Mn,Cu
  CU-MO, Cu,Mo,Cu
  CU-NB, Cu,Nb,Cu
  CU-N, Cu,N,Cu
  CU-NI, Cu,Ni,Cu
  CU-O, Cu,O,Cu
  CU-P, Cu,P,Cu
  CU-PD, Cu,Pd,Cu
  CU-PT, Cu,Pt,Cu
  CU-RE, Cu,Re,Cu
  CU-RU, Cu,Ru,Cu
  CU-S, Cu,S,Cu
  CU-SI, Cu,Si,Cu
  CU-TA, Cu,Ta,Cu
  CU-TI, Cu,Ti,Cu
  CU-V, Cu,V,Cu
  CU-W, Cu,W,Cu
  CU-Y, Cu,Y,Cu
  CU-ZR, Cu,Zr,Cu
  FE-HF, Fe,Hf,Fe
  FE-MG, Fe,Mg,Fe
  FE-MN, Fe,Mn,Fe
  FE-MO, Fe,Mo,Fe
  FE-N, Fe,N,Fe
  FE-NB, Fe,Nb,Fe
  FE-NI, Fe,Ni,Fe
  FE-O, Fe,O,Fe
  FE-P, Fe,P,Fe
  FE-PD, Fe,Pd,Fe
  FE-PT, Fe,Pt,Fe
  FE-RE, Fe,Re,Fe
  FE-RU, Fe,Ru,Fe
  FE-S, Fe,S,Fe
  FE-SI, Fe,Si,Fe
  FE-TA, Fe,Ta,Fe
  FE-TI, Fe,Ti,Fe
  FE-V, Fe,V,Fe
  FE-W, Fe,W,Fe
  FE-Y, Fe,Y,Fe
  FE-ZR, Fe,Zr,Fe
  HF-MG, Hf,Mg,Hf
  HF-MN, Hf,Mn,Hf
  HF-MO, Hf,Mo,Hf
  HF-NB, Hf,Nb,Hf
  HF-NI, Hf,Ni,Hf
  HF-O, Hf,O,Hf
  HF-PD, Hf,Pd,Hf
  HF-RE, Hf,Re,Hf
  HF-RU, Hf,Ru,Hf
  HF-SI, Hf,Si,Hf
  HF-TA, Hf,Ta,Hf
  HF-TI, Hf,Ti,Hf
  HF-V, Hf,V,Hf
  HF-W, Hf,W,Hf
  HF-Y, Hf,Y,Hf
  HF-ZR, Hf,Zr,Hf
  MG-MN, Mg,Mn,Mg
  MG-MO, Mg,Mo,Mg
  MG-N, Mg,N,Mg
  MG-NB, Mg,Nb,Mg
  MG-NI, Mg,Ni,Mg
  MG-O, Mg,O,Mg
  MG-RU, Mg,Ru,Mg
  MG-S, Mg,S,Mg
  MG-SI, Mg,Si,Mg
  MG-TI, Mg,Ti,Mg
  MG-V, Mg,V,Mg
  MG-W, Mg,W,Mg
  MG-Y, Mg,Y,Mg
  MG-ZR, Mg,Zr,Mg
  MN-MO, Mn,Mo,Mn
  MN-N, Mn,N,Mn
  MN-NB, Mn,Nb,Mn
  MN-NI, Mn,Ni,Mn
  MN-O, Mn,O,Mn
  MN-P, Mn,P,Mn
  MN-PD, Mn,Pd,Mn
  MN-PT, Mn,Pt,Mn
  MN-RE, Mn,Re,Mn
  MN-RU, Mn,Ru,Mn
  MN-S, Mn,S,Mn
  MN-SI, Mn,Si,Mn
  MN-TA, Mn,Ta,Mn
  MN-TI, Mn,Ti,Mn
  MN-V, Mn,V,Mn
  MN-W, Mn,W,Mn
  MN-Y, Mn,Y,Mn
  MN-ZR, Mn,Zr,Mn
  MO-N, Mo,N,Mo
  MO-NB, Mo,Nb,Mo
  MO-NI, Mo,Ni,Mo
  MO-O, Mo,O,Mo
  MO-P, Mo,P,Mo
  MO-PD, Mo,Pd,Mo
  MO-PT, Mo,Pt,Mo
  MO-RE, Mo,Re,Mo
  MO-RU, Mo,Ru,Mo
  MO-S, Mo,S,Mo
  MO-SI, Mo,Si,Mo
  MO-TA, Mo,Ta,Mo
  MO-TI, Mo,Ti,Mo
  MO-V, Mo,V,Mo
  MO-W, Mo,W,Mo
  MO-Y, Mo,Y,Mo
  MO-ZR, Mo,Zr,Mo
  N-NB, N,Nb,N
  N-NI, N,Ni,N
  N-SI, N,Si,N
  N-TA, N,Ta,N
  N-TI, N,Ti,N
  N-V, N,V,N
  N-W, N,W,N
  N-ZR, N,Zr,N
  NB-NI, Nb,Ni,Nb
  NB-O, Nb,O,Nb
  NB-P, Nb,P,Nb
  NB-PD, Nb,Pd,Nb
  NB-PT, Nb,Pt,Nb
  NB-RE, Nb,Re,Nb
  NB-RU, Nb,Ru,Nb
  NB-S, Nb,S,Nb
  NB-SI, Nb,Si,Nb
  NB-TA, Nb,Ta,Nb
  NB-TI, Nb,Ti,Nb
  NB-V, Nb,V,Nb
  NB-W, Nb,W,Nb
  NB-Y, Nb,Y,Nb
  NB-ZR, Nb,Zr,Nb
  NI-O, Ni,O,Ni
  NI-P, Ni,P,Ni
  NI-PD, Ni,Pd,Ni
  NI-PT, Ni,Pt,Ni
  NI-RE, Ni,Re,Ni
  NI-RU, Ni,Ru,Ni
  NI-S, Ni,S,Ni
  NI-SI, Ni,Si,Ni
  NI-TA, Ni,Ta,Ni
  NI-TI, Ni,Ti,Ni
  NI-V, Ni,V,Ni
  NI-W, Ni,W,Ni
  NI-Y, Ni,Y,Ni
  NI-ZR, Ni,Zr,Ni
  PD-PT, Pd,Pt,Pd
  O-PD, O,Pd,O
  O-PT, O,Pt,O
  O-RE, O,Re,O
  O-RU, O,Ru,O
  O-SI, O,Si,O
  O-TA, O,Ta,O
  O-TI, O,Ti,O
  O-V, O,V,O
  O-W, O,W,O
  O-Y, O,Y,O
  O-ZR, O,Zr,O
  P-PD, P,Pd,P
  P-PT, P,Pt,P
  P-RU, P,Ru,P
  P-S, P,S,P
  P-SI, P,Si,P
  P-TI, P,Ti,P
  P-V, P,V,P
  P-W, P,W,P
  PD-RE, Pd,Re,Pd
  PD-RU, Pd,Ru,Pd
  PD-S, Pd,S,Pd
  PD-SI, Pd,Si,Pd
  PD-TA, Pd,Ta,Pd
  PD-TI, Pd,Ti,Pd
  PD-V, Pd,V,Pd
  PD-W, Pd,W,Pd
  PD-Y, Pd,Y,Pd
  PD-ZR, Pd,Zr,Pd
  PT-RE, Pt,Re,Pt
  PT-RU, Pt,Ru,Pt
  PT-S, Pt,S,Pt
  PT-SI, Pt,Si,Pt
  PT-TA, Pt,Ta,Pt
  PT-TI, Pt,Ti,Pt
  PT-V, Pt,V,Pt
  PT-W, Pt,W,Pt
  PT-Y, Pt,Y,Pt
  PT-ZR, Pt,Zr,Pt
  RE-RU, Re,Ru,Re
  RE-S, Re,S,Re
  RE-SI, Re,Si,Re
  RE-TA, Re,Ta,Re
  RE-TI, Re,Ti,Re
  RE-V, Re,V,Re
  RE-W, Re,W,Re
  RE-Y, Re,Y,Re
  RE-ZR, Re,Zr,Re
  RU-S, Ru,S,Ru
  RU-SI, Ru,Si,Ru
  RU-TA, Ru,Ta,Ru
  RU-TI, Ru,Ti,Ru
  RU-V, Ru,V,Ru
  RU-W, Ru,W,Ru
  RU-Y, Ru,Y,Ru
  RU-ZR, Ru,Zr,Ru
  S-SI, S,Si,S
  S-TI, S,Ti,S
  S-V, S,V,S
  S-ZR, S,Zr,S
  SI-TA, Si,Ta,Si
  SI-TI, Si,Ti,Si
  SI-V, Si,V,Si
  SI-W, Si,W,Si
  SI-Y, Si,Y,Si
  SI-ZR, Si,Zr,Si
  TA-TI, Ta,Ti,Ta
  TA-V, Ta,V,Ta
  TA-W, Ta,W,Ta
  TA-Y, Ta,Y,Ta
  TA-ZR, Ta,Zr,Ta
  TI-V, Ti,V,Ti
  TI-W, Ti,W,Ti
  TI-Y, Ti,Y,Ti
  TI-ZR, Ti,Zr,Ti
  V-W, V,W,V
  V-Y, V,Y,V
  V-ZR, V,Zr,V
  W-Y, W,Y,W
  W-ZR, W,Zr,W
  Y-ZR, Y,Zr,Y
